date	area	type	description	file
2026-09-22	env	fix	Made the .kain/bin wrappers self-contained: kain (sh) and kain.cmd now default KAIN_HOME / KAIN_STDLIB_PATH / KAIN_RUNTIME_LIB_PATH so `kain` works in a bare shell that inherited no environment.	D:\kain\.kain\bin\kain, D:\kain\.kain\bin\kain.cmd
2026-09-22	tool	verify	slice.kn (TurboKain 01, GUPPI slicer at C parity) unblocked by the stdlib fix: `kain check` EXIT=0 and `kain build --target llvm` EXIT=0, slice.exe produced. Was blocked on exactly 4 module symbols.	kain/core/slice.kn, kain/core/slice.exe
2026-09-22	tool	verify	Re-verified lane_sieve.kn end-to-end after the env fixes: BUILD_EXIT=0 and the receipt is identical (lanes 3 + 7 QUARANTINE, receipt PASS, custom-geometry), exit 0.	kain/_examples/lane_sieve.kn, kain/_examples/lane_sieve_verify.exe
2026-09-22	docs	update	AGENTS.md: added build-output behavior (exe lands in cwd, intermediates in <source-dir>/.kain; -o takes a file not a dir; convention = build from the tool's folder), the stdlib+runtime discovery section, and the two-commands table (kain fast vs kaindev dev).	AGENTS.md
2026-09-22	memory	add	Established this memory.tsv ledger: every file change gets a row (date, area, type, description, file). Modeled on the Kain repo's memory.tsv discipline.	memory.tsv
2026-09-22	catalog	add	Established catalog.tsv — the TurboKain tool/artifact ledger (tool, source, exe, kind, status, prove, receipt, consumes, produces, notes, updated). Sky-data files stay catalogued in SetiYeti's catalog.tsv (single scientific record) and are referenced here by name.	catalog.tsv
2026-09-22	docs	update	AGENTS.md: added the Ledgers section (memory.tsv change-log rule + catalog.tsv tool-ledger rule) and listed both in the repo layout.	AGENTS.md
2026-09-22	tool	add	Added scripts/memlog.py helper (tab-safe append to memory.tsv) so agents log changes without formatting mistakes.	scripts/memlog.py
2026-09-22	docs	update	AGENTS.md: documented scripts/memlog.py usage in the Ledgers section and added scripts/ to the repo layout.	AGENTS.md
2026-09-22	tool	add	scripts/memlog.kn — pure-Kain replacement for the Python change-log helper: appends a memory.tsv row (ISO date from the system clock, tab/newline sanitize, header seed on new ledger). Built scripts/memlog.exe. Keeps the repo pure Kain + MarkScript.	scripts/memlog.kn, scripts/memlog.exe
2026-09-22	tool	remove	Removed scripts/memlog.py — Python helper replaced by the Kain memlog. No non-Kain runtimes in this repo.	scripts/memlog.py
2026-09-22	docs	update	AGENTS.md: replaced the Python memlog instructions with the Kain build/run flow, and stated the repo rule — pure Kain + MarkScript, never add a helper in another language.	AGENTS.md
2026-09-22	docs	update	AGENTS.md: added the memlog CLI reference to the main CLI commands section (build once, run from repo root, stamps date/seeds header/sanitizes).	AGENTS.md
2026-09-22	tool	add	boxcar_bank.kn tool 03: single-pulse + DM sweep at transient_dm parity (converge spec-DFT vs radix-2 FFT lanes, prefix-sum boxcar, quickselect robust-z, md+csv tables); prove 3/3, sky-data exact 4-field oracle match, 3x faster than numpy	kain/core/boxcar_bank.kn,kain/core/boxcar_bank.exe
2026-09-22	tool	update	boxcar_bank v1.1: resonate tripwire layer (BankAuthority world + bank_trip patch + trip_count resonate, cadence_pair pattern); detector byte-identical (csv cmp clean), prove 4/4, trips=256/256 on SHOT file, 0/0 on CLEAN	kain/core/boxcar_bank.kn,kain/core/boxcar_bank.exe
2026-09-22	report	add	FRB121102 Scan11 seg0000 Kain shakedown: 3 slices x 5 tools, SHOTs quarantined as w1 impulses (flat-DM, per-lane t), honest I2 negative with floor	reports/2026-09-22_frb121102/REPORT.md,reports/2026-09-22_frb121102/sk.md,reports/2026-09-22_frb121102/sk.csv,reports/2026-09-22_frb121102/pulse.md,reports/2026-09-22_frb121102/pulse.csv,reports/2026-09-22_frb121102/pulse_ch30.csv,reports/2026-09-22_frb121102/pulse_ch44p1.csv,reports/2026-09-22_frb121102/pulse_full.csv,reports/2026-09-22_frb121102/fold.md,reports/2026-09-22_frb121102/fold.csv,reports/2026-09-22_frb121102/fam.md,reports/2026-09-22_frb121102/fam.csv,reports/2026-09-22_frb121102/fam_cand.txt
2026-09-22	report	add	FRB121102 full-segment sweep: ch44p0 128/128 blocks (67M samples), SK/fold/FAM full-file CLEAN, boxcar 16 tiles 1 SHOT (tile0 w1 impulse) + 15 CLEAN, honest negative	reports/2026-09-22_frb121102_full/REPORT.md,reports/2026-09-22_frb121102_full/sk_full.md,reports/2026-09-22_frb121102_full/sk_full.csv,reports/2026-09-22_frb121102_full/fold_full.md,reports/2026-09-22_frb121102_full/fold_full.csv,reports/2026-09-22_frb121102_full/fam_full.md,reports/2026-09-22_frb121102_full/fam_full.csv,reports/2026-09-22_frb121102_full/fam_full_cand.txt
2026-09-22	repo	add	public README.md as executable markscript broadcast (renders as front door, runs 7/7 prints + loads tools table; board static per-release with machine-owned sentinels until upstream pipes-in-args + process-spawn gaps clear — both documented in-file with repros); added std/intents.md registry copy for root/campaigns/_tmp resolution (keep in sync with markscript/std); deleted stray kain/core/pulse.* outputs	README.md,std/intents.md
2026-09-22	repo	update	public README rewritten fresh-first (no SetiYeti knowledge assumed; SetiYeti credited w/ link as oracle-provenance; real campaigns + measured speed table incl. 17GB-in-2.3s receipt; 6-tool roster w/ fam+cadence; broadcast 9/9 green, check 0 warnings)	README.md
2026-09-22	repo	fix	README Kain link pointed at real org github.com/kainlang/kain (was placeholder)	README.md
2026-09-22	repo	update	README Why-Kain rewritten from kain repo docs (compiler-owned semantics, ownership/lanes/laws, prove-otherwise posture, amalgamate capsules; rulebook pointer)	README.md
2026-09-22	repo	update	README leads with Objective 1 bystander mission (traffic/monuments/payloads, structure-not-tones) instead of pipeline pitch; SetiYeti corrected to 3-day prototype	README.md
2026-09-22	repo	fix	README restored 4 sections lost to concurrent edit (broadcast/tools/blockers/law); mission-first intro + 3-day SetiYeti correction intact	README.md
2026-09-22	tool	add	xvm_sandbox.kn (tool 08): 6-machine xvm parity (SUBLEQ/STACK/CA110/ACF/BM/RASTER) + TAG order probe + JIT native-exec smoke + mutation probe. Selftest 24/24, C-parity on shared vectors (noise/eng/dark incl sub=30, bmL=16, raster w=23, score 0/83/83). Lessons: LCG low-bit periodicity (use >>16), int32 wrap for SUBLEQ, lfsr_fill inline (2nd ptr-helper crash).	kain/core/xvm_sandbox.kn, kain/core/xvm_sandbox.exe
2026-09-22	tool	fix	xvm_sandbox.kn: fixed abort-127 on ~200 kbit inputs. Root cause: bulk byte-copy loop auto-vectorizes (AVX2 32B stores) and overruns exact-size arenas (nbytes%32 != 0 crashes, multiples pass, 11/11 sizes). Fix: +32 slack on cp/rawbuf arenas. Byproducts: --skip triage flags (per-machine + mut halves), single-pass mut flip loop (flip-set verified identical), int32-wrap SUBLEQ parity (sub=30 exact), TAG gate 2200 (5-seed). Selftest 24/24, C-parity all vectors + 6 sky runs.	kain/core/xvm_sandbox.kn, kain/core/xvm_sandbox.exe, AGENTS.md
2026-09-22	report	add	TRAPPIST1 0017 impulsive structure full evidence package: UNEXPLAINED-WATCH; ch60 kurt 59.8 (17,719 spikes >10sig, 128/128 blocks), ON-only vs 0015/0016, present blc00+blc04 not blc01; excluded pulsar/ADC-interleave/boundary; needs ON-OFF-ON	reports/2026-09-22_trappist0017_impulsive/REPORT.md,reports/2026-09-22_trappist0017_impulsive/manifest.json,reports/2026-09-22_trappist0017_impulsive/evidence/measurements.tsv,reports/2026-09-22_trappist0017_impulsive/evidence/persistence_per_block.tsv,reports/2026-09-22_trappist0017_impulsive/evidence/scripts/analyze.py
2026-09-22	report	update	TRAPPIST1 0017 impulsive: added astrophysical-phenomenon section (§6.5) with plausibility weights (local 70/known-astro 25/novel 5) + channel gradient map ch57-63	reports/2026-09-22_trappist0017_impulsive/REPORT.md,reports/2026-09-22_trappist0017_impulsive/manifest.json,reports/2026-09-22_trappist0017_impulsive/evidence/channel_map_0017.tsv
2026-09-22	report	update	TRAPPIST1 0017 impulsive RESOLVED: diagnostic battery killed astrophysical case. C1 fs/2048 frame-clock comb CONFIRMED (Y2 peaks 4 bins@8192=1430.51Hz), C2 cross-bank index dup CONFIRMED, C3 PFB rolloff CONFIRMED, all 4 pols spiky V~0 (terrestrial/backend), ch32 quiet, PKTIDX sequential no underrun -> INSTRUMENTAL ARTIFACT. Earned 4 new guards	reports/2026-09-22_trappist0017_impulsive/REPORT.md,reports/2026-09-22_trappist0017_impulsive/manifest.json,reports/2026-09-22_trappist0017_impulsive/evidence/diagnostic_battery.tsv
2026-09-22	tool	add	pipeline.kn (TurboKain single entry point): wraps slice+xeno+fam, applies 3 artifact guards (G1 fs/2048 comb, G3 band-edge rolloff, G4 pol triage) in ONE place via Kain use-modules. Proven on TRAPPIST1 0017: STRONG downgraded to ARTIFACT-COMMON/EDGE/COMB. Guards 6/6 unit proof	kain/pipeline/src/main.kn,kain/pipeline/src/guards.kn,kain/pipeline/src/tables.kn,kain/pipeline/src/exec.kn,kain/pipeline/KAIN.toml,kain/pipeline/README.md
2026-09-22	report	update	TRAPPIST1 0017: corrected C1 wording (11 top peaks at bins 3..43 exactly 4-bin spaced = fs/2048) + noted guards now implemented in kain/pipeline	reports/2026-09-22_trappist0017_impulsive/REPORT.md
2026-09-22	report	add	M9 recurrence analysis: 8204/7427/2185 rows attributed (M31 2-bit DC, T1 0017 storm+comb, Kepler OFF-bursts); no monument survives ON/OFF+multinight tests	reports/2026-09-22_fullsweep/RECURRENCE_ANALYSIS.md
2026-09-22	tool	add	config.kn (TurboKain 05, M7): preset resolver, 40 keys, defaults<preset<header<CLI, TBIN E-form -> FS, unknown-key quarantine; check + build green, prove 6/6, header 7/7 on FRB121102 raw	kain/core/config.kn,kain/core/config.exe
2026-09-22	catalog	update	catalog.tsv: config tool row (proven, prove 6/6 + FRB header 7/7 receipt)	catalog.tsv
2026-09-22	tool	build	fam_god 0.6.0 journal v2: provenance+trailing-window+sscan split+comb/dc/degen triage, prove 6/6 + 2-bit control 135/135	kain/core/fam_god.kn,kain/core/fam_god.exe,_tmp/sweep/worker.sh,catalog.tsv
2026-09-22	report	update	RECURRENCE_ANALYSIS addendum: four M9 fixes implemented + proved (fam_god 0.6.0)	reports/2026-09-22_fullsweep/RECURRENCE_ANALYSIS.md
2026-09-22	tool	add	bitslice.kn (tool 09): .f32->xvm bitstreams, sign/diff byte-identical vs bitslice.py raw+alpha(sps264), +mag stream +head/span modes. Prove 4/4. Sky: mag fires XENO-WATCH head+span where sign/diff quiet	kain/core/bitslice.kn,kain/core/bitslice.exe
2026-09-22	tool	add	drift_hunt.kn tool 09 + frame_hunt.kn tool 10: deDoppler tone search (STFT+shift-add+converge med100, prove 4/4) and M2 frame hunter (envelope+whiten+harmonic sum+walkdown, prove 9/9); both quiet on storm-ch60/ctl-ch32 sky with floors	kain/core/drift_hunt.kn,kain/core/drift_hunt.exe,kain/core/frame_hunt.kn,kain/core/frame_hunt.exe,catalog.tsv
2026-09-22	report	add	drift+frame 17GB TRAPPIST shakedown (ON0017/OFF0018 blc04, ch60/63/32 pol0 full 128 blocks): drift 96/96 tiles kept=0, frame 24/24 detected=0; strongest sub-gate ON-ch63 ~100ms family at 22sigma tile-local; self-caught tiling dupe fixed with SetFilePointer seek, both re-proven, re-run	reports/2026-09-22_driftframe_trappist/REPORT.md,reports/2026-09-22_driftframe_trappist/drift_summary.tsv,reports/2026-09-22_driftframe_trappist/frame_summary.tsv,kain/core/drift_hunt.kn,kain/core/frame_hunt.kn
2026-09-22	tool	fix	drift_hunt/frame_hunt --skip-samples did not seek (re-read tile 0 every tile, caught by identical tile numbers); added SetFilePointer seek, adjacent-tiles-differ/same-tile-reproduces verified, both re-proven 4/4+9/9	kain/core/drift_hunt.kn,kain/core/frame_hunt.kn,kain/core/drift_hunt.exe,kain/core/frame_hunt.exe
2026-09-22	tool	add	fil_reader.kn (TurboKain 11, ingest): Sigproc .fil -> .f32, u32/f64 header walk, nbits 32/8/16, chan/band-mean/spec modes; check+build green, prove 4/4, C07 probe+extract receipts	kain/core/fil_reader.kn,kain/core/fil_reader.exe
2026-09-22	tool	fix	fold_sum hardcoded FS_HZ caught by Sgr B2 filterbank (mislabeled 1585Hz): added --fs + dec=1 below 6kHz, removed pre-existing double decay hbi; check+build green, rerun reports true 25.00Hz	kain/core/fold_sum.kn,kain/core/fold_sum.exe
2026-09-22	report	add	GC campaign: Sgr B2 25Hz square 6-way (instrumental, non-persistent vs 0014), C07 floor, ultra-fine census 308 blocks, boxcar quantized-MAD 149sigma false alarm quarantined (G5), frame ghost ranks documented	reports/2026-09-22_gc/REPORT.md
2026-09-22	catalog	update	catalog.tsv: fil_reader row (proven 4/4) + fold_sum row (proven, --fs fix)	catalog.tsv
2026-09-22	docs	update	AGENTS.md pitfalls: one-decay-per-arena rule, every-detector-takes---fs (fold lesson), boxcar quantized-MAD blowup G5, gpuspec hdf5plugin+axes	AGENTS.md
2026-09-23	python	add	python/ orchestration layer: tk driver wraps core exes (list/prove/run/scan/doctor/catalog), stdlib-only, registry is single CLI-contract source; AGENTS.md now sanctions Python as glue (never detectors), catalog gets tk_driver row; verified prove all-PASS + smoke scans (f32 bundle, raw slice->sk_gate)	python/tk.py,python/turbokain/__init__.py,python/turbokain/registry.py,python/turbokain/runner.py,python/turbokain/scan.py,python/turbokain/cli.py,python/README.md,AGENTS.md,catalog.tsv
2026-09-23	python	add	python/tk.cmd Windows shim + .gitignore __pycache__/*.pyc; cli alias-count fix (no double-count), scan.py unused-import cleanup, README shim note	python/tk.cmd,.gitignore,python/turbokain/cli.py,python/turbokain/scan.py,python/README.md
2026-09-23	report	add	Oumuamua S-band ON/OFF: SK 128/128 CLEAN, ch44 full-file fold/fam/drift/frame CLEAN, boxcar 30 tiles 3 ON w1 SHOTs quarantined (Fisher p~0.22, scattered-DM), cadence WATCH downgraded with rationale, honest negative	reports/2026-09-23_oumuamua/REPORT.md
2026-09-23	tool	add	python/ glue layer (tk driver: list/prove/run/scan/doctor/catalog over Kain exes, registry+runner+scan, stdlib-only, wrap-never-reimplement)	python/tk.py,python/turbokain/cli.py,python/turbokain/registry.py,python/turbokain/runner.py,python/turbokain/scan.py,python/turbokain/__init__.py
2026-09-23	tool	add	lag_hunt.kn (TurboKain 12, M2 long-lag direct-autocorrelation hunter): 4-lens PHASE/POWER/CADENCE/EVENT lattice under share/fanout, moment-unit z + winsorized moments, refinement + fold + persist + family 3-path verdicts, full alien event stack (world/patch/resonate/entangle/pulse/teleport/axiom/converge/orchestrate/shatter). check green (1 teleport-channel warning), build green, prove 9/9, sky CLEAN (ch44/m31/inj), BPSK file-mode XENO end-to-end	kain/core/lag_hunt.kn,kain/core/lag_hunt.exe
2026-09-23	python	update	registry.py + scan.py: lag_hunt detector row (f32, --prove, --out/--csv/--fs) + F32_DETECTORS bundle; tk prove all-PASS incl lag_hunt	python/turbokain/registry.py,python/turbokain/scan.py
2026-09-23	catalog	update	catalog.tsv: lag_hunt row (Tool 12, proven 9/9, M2 direct-autocorrelation hunter); repaired a clipped tk_driver tail from the same edit	catalog.tsv
2026-09-23	docs	update	AGENTS.md pitfalls: arena-name shadowing vs decay (lag_hunt 127 repro), share-needs-heap-region, global-MAD poisoning + winsorized moments, fold-at-phase, kain -c trig probe caveat	AGENTS.md
2026-09-23	tool	add	common.kn shared helper module (25 symbols: kernel32 FFI + consts + parse/f32/sort/FFT/text writers, all pub, canonical effects logged in header). Behavioral census first: 14 identical families extracted byte-exact by script; variant clusters reconciled (parse_float boxcar-style, write_text_file bitslice nb+32, quickselect effect-free for converge lanes, sk_fft stays Unsafe). check green standalone; amalgamates clean for SetiYeti drop-in	kain/core/common.kn
2026-09-23	tool	update	lag_hunt pilot migration onto common.kn: 275 local lines deleted, 25 use common::X imports (fns+consts+extern all resolve), check green (1 known teleport warning), build green, prove 9/9 byte-identical scores. Amalgam errors 347->362 (common adds a copy; falls per migration)	kain/core/lag_hunt.kn
2026-09-23	docs	update	AGENTS.md: common.kn migration discipline (one tool at a time + re-prove, pub requirement, script-extractverbatim, cp1252 utf-8 file-write rule)	AGENTS.md
2026-09-23	core	build	Amalgamated all 14 core tools into portable core.exe with shared _common.kn and dispatch.kn multi-call wrapper (all self-tests PASS)	kain/core/_common.kn,kain/core/dispatch.kn,kain/core.kn,core.exe
2026-09-23	core	update	Migrated all 14 core tools onto _common.kn, eliminated duplicate helpers, created dispatch.kn for portable core.exe	kain/core/bitslice.kn,kain/core/boxcar_bank.kn,kain/core/cadence_pair.kn,kain/core/config.kn,kain/core/drift_hunt.kn,kain/core/fam_god.kn,kain/core/fil_reader.kn,kain/core/fold_sum.kn,kain/core/frame_hunt.kn,kain/core/sk_gate.kn,kain/core/slice.kn,kain/core/xeno_scan.kn,kain/core/xvm_sandbox.kn
2026-09-23	core	update	Enhanced dispatch.kn: added core help <tool> drilldown, core prove (native in-memory test runner across 9 tools), core sweep pipeline	kain/core/dispatch.kn,kain/core.kn,core.exe
2026-09-23	repo	delete	Removed legacy kain/pipeline folder and unregistered driver row in registry.py (superseded by core.exe unified dispatcher and sweep)	kain/pipeline,python/turbokain/registry.py
2026-09-23	docs	update	Updated AGENTS.md with Core Suite Amalgamation Architecture (SQLite/BusyBox doctrine), _common.kn, dispatch.kn, and future Yin-Yang development trajectory in core.kn	AGENTS.md
2026-09-23	docs	update	Rewrote README.md with aerospace-grade radio technosignature research specification (Objective 1, SQLite doctrine, 14-tool DSP lattice, mathematical formulations, core.exe operations)	README.md
2026-09-23	core	update	Supported turbokain_core.exe and turbokain.exe binary stems in dispatch.kn and python registry/runner	kain/core/dispatch.kn,kain/core.kn,python/turbokain/registry.py,python/turbokain/runner.py
2026-09-23	repo	release	Published v0.1.0-alpha GitHub release with turbokain_core.exe (1.2 MB native binary, SHA256 verified, 14 amalgamated tools)	turbokain_core.exe,turbokain_core-windows-x86_64.zip,SHA256SUMS.txt
2026-09-23	cli	add	Added short tkc binary alias and tool shorthands (bits, boxcar/bb, cad, cfg, drift, fam, fil, fold, frame, lag, sk, xeno, xvm) across dispatch.kn, README.md, AGENTS.md, and release assets	tkc.cmd,kain/core/dispatch.kn,kain/core.kn,README.md,AGENTS.md
2026-09-23	docs	add	Created comprehensive hands-on docs/USER_GUIDE.md covering 30s quickstart, all 14 instruments, config/presets, Python automation, and ping-pong observational recipes	docs/USER_GUIDE.md,README.md
2026-09-23	tool	add	raster_hunt, jerk_track, and scint_pol added to core suite (17 instruments, 12 prove batteries 89/89 PASS)	kain/core/raster_hunt.kn,kain/core/jerk_track.kn,kain/core/scint_pol.kn,kain/core/dispatch.kn,kain/core.kn,catalog.tsv
2026-09-23	bench	verify	Measured 17GB GUPPI end-to-end: slice 2.25s warm / 11.9s cold, 9-stage sweep 13.9s, full pipeline 16.1s warm (1.42x real-time) / 27.4s cold; 12/12 prove in 3.47s; binary 1.30MB. Report in docs/BENCHMARK.md	docs/BENCHMARK.md
2026-09-23	survey	fetch	GC survey A00+C10 coarse set pulled (58 files) + Sgr B2 verified complete + first-light xeno WATCH on Sgr A* bandmean	reports/2026-09-23_gc_survey/
2026-09-23	release	update	Promoted v0.1.0-alpha to full Latest release: rebuilt 17-tool tkc.exe (1.30MB, sha256 c091b450), full package zip (turbokain-v0.1.0-alpha-windows-x86_64.zip, 816KB) with README/USER_GUIDE/BENCHMARK/RELEASE_NOTES, updated notes with measured 17GB benchmark; removed stale 14-tool asset; download-verified hashes	tkc.exe,turbokain_core.exe,tkc.cmd,docs/BENCHMARK.md
2026-09-23	campaign	verify	HIP54155 ON/OFF full structure battery: 60 runs + 9 cadence gates + SUMMARY, all CLEAN/COMMON	reports/2026-09-23_hip_pair_hunt/h54155_SUMMARY.md
2026-09-23	report	add	HIP11048+HIP54155 two-pair hunt: honest double negative, universal 178.81Hz/2.83Hz backend complex, floors	reports/2026-09-23_hip_pair_hunt/REPORT.md
2026-09-23	tool	add	unify Tool 18: campaign report unifier (138-table REPORT.md + evidence.csv + verdicts.json, prove 8/8, COMMON disposition)	kain/core/unify.kn,kain/core/dispatch.kn,kain/core.kn
2026-09-23	tool	fix	unify v1.1: star-keyed lattice (mixed dirs keep every star) + structure dedupe max-sigma (45->19), all 13 prove PASS, tkc/core/turbokain_core rebuilt	kain/core/unify.kn,kain/core.kn,tkc.exe,core.exe,turbokain_core.exe,reports/2026-09-23_hip_pair_hunt/REPORT_UNIFY.md,reports/2026-09-23_hip_pair_hunt/evidence.csv,reports/2026-09-23_hip_pair_hunt/verdicts.json
2026-09-23	tool	add	stack Tool 19: incoherent multi-epoch ON/OFF stacker (STFT means, median-whiten, sqrt-Neff gain, shift-and-add trials, prove 5/5)	kain/core/stack.kn
2026-09-23	tool	build	amalgamated core.kn (21 files) + core_stack_test.exe; stack --prove 5/5, full prove battery ALL 14 PASS	kain/core.kn,core_stack_test.exe
2026-09-23	tool	verify	wired stack/stk into dispatch.kn (usage, help, run, prove [14/14]); TRAPPIST-1 ch32 2ON+2OFF demo CLEAN at thresh 6, report path verified at thresh 3 (law=1 rows)	kain/core/dispatch.kn,catalog.tsv,_tmp/stack_demo/stack.md,_tmp/stack_demo/stack.csv
2026-09-23	campaign	verify	GC full-sweep on 17-tool engine: 58 banks + 464 spots + SgrB2 deep x6 + payload lanes, honest negative with SgrA microstructure residue	reports/2026-09-23_gc_full/REPORT.md,reports/2026-09-23_gc_full/spot_tally2_clean.tsv
2026-09-23	tool	build	unify auto: sweep stage-10 pack + tk scan report stage, bare/tk-scan stem matching, sweep single-pointing correctly caps at listed-structures (no unpaired WATCH)	kain/core/unify.kn,kain/core/dispatch.kn,python/turbokain/registry.py,python/turbokain/scan.py,tkc.exe
2026-09-23	python	fix	tk scan ext fix: appends_ext contract (boxcar self-appends, rest get stem.md+stem.csv) so unify auto-packs every table; demo scan 10 stages 0 failures	python/turbokain/registry.py,python/turbokain/scan.py,reports/2026-09-23_unified_demo_scan/REPORT.md
2026-09-23	catalog	add	sky_catalog.tsv: new sky ledger (15 rows: 9 honest negatives + M31/Kepler attribution + Voyager/pulsar/HIP-backlog unscanned queue); AGENTS.md 3-ledger rules; tk catalog shows sky table	sky_catalog.tsv,AGENTS.md,python/turbokain/cli.py
2026-09-23	tool	add	h5_reader: BL HDF5 filterbank ingest (.h5) at slice parity with bitshuffle/gzip support, probe/chan/mean/spec modes, prove 4/4	kain/core/h5_reader.kn,python/turbokain/h5_reader.py,python/h5_reader.py
2026-09-23	core	update	Integrated h5_reader into core.kn dispatch (20 tools, 15 prove batteries pass), core sweep format auto-sniffing (.f32/.h5/.fil/.raw)	kain/core/dispatch.kn,kain/core/_common.kn,kain/core/xvm_sandbox.kn,core.exe
2026-09-23	driver	update	Registered h5_reader in python/turbokain/registry.py and wired .h5/.fil/.raw auto-slicing + fs auto-detection in scan.py	python/turbokain/registry.py,python/turbokain/scan.py,catalog.tsv,sky_catalog.tsv
2026-09-23	tool	add	add waterfall 1920x1080 scientific diagnostic PNG dashboard instrument (tool 16) with native PNG encoder, Consolas font, Turbo/Inferno palettes, and multi-panel HUD	kain/core/waterfall.kn,kain/core/dispatch.kn,python/turbokain/registry.py,python/turbokain/scan.py
2026-09-23	docs	add	add docs/waterfall_examples/ gallery with 5 publication-grade 1080p diagnostic PNG dashboards covering exoplanet drifting carrier, pulsar train, RFI comb, FRB chirp, and Sgr A* real sky data	docs/waterfall_examples/README.md,docs/waterfall_examples/*.png
2026-09-23	docs	update	update README.md with 1920x1080 diagnostic waterfall header image, 21 instruments table, 16 prove batteries, and 11-stage sweep flow	README.md
2026-09-23	release	publish	Published v0.2.0-alpha GitHub release with 21 instruments, 16 prove batteries, and waterfall engine	tkc.exe,turbokain_core.exe,turbokain-v0.2.0-alpha-windows-x86_64.zip,SHA256SUMS.txt
2026-09-23	examples	add	waterfall 0.2.0 real-sky renders: Oumuamua S-band + TRAPPIST-1 L-band ON/OFF ch32 (67M samples each) into examples/waterfalls/	examples/waterfalls/oumuamua_on_c32.png,examples/waterfalls/oumuamua_off_c32.png,examples/waterfalls/trappist_on_c32.png,examples/waterfalls/trappist_off_c32.png
